memberId,zero_rate,rising_rate,falling_rate,flip_rate,rising_sequence_rate,falling_sequence_rate,zero_sequence_rate
50679,0.0,0.5,0.5,0.6,0.3333333333333333,0.3333333333333333,0.0
22808,0.0,0.6666666666666666,0.3333333333333333,0.625,0.3333333333333333,0.1111111111111111,0.0
50791,0.0,0.65,0.35,0.5263157894736842,0.2,0.1,0.0
50066,0.0,0.2857142857142857,0.6428571428571429,0.5384615384615384,0.07142857142857142,0.2857142857142857,0.0
46773,0.0,0.4444444444444444,0.5555555555555556,0.5,0.2222222222222222,0.4444444444444444,0.0
51225,0.0,0.3333333333333333,0.6666666666666666,0.8,0.16666666666666666,0.3333333333333333,0.0
13899,0.0,0.5,0.4,0.6666666666666666,0.2,0.2,0.0
51236,0.0,0.6,0.4,0.5,0.2,0.2,0.0
51603,0.0,0.4375,0.375,0.4666666666666667,0.125,0.25,0.0
14632,0.0,0.3333333333333333,0.6666666666666666,0.5,0.13333333333333333,0.26666666666666666,0.0
50890,0.0,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.14285714285714285,0.42857142857142855,0.0
51749,0.0,0.7,0.3,0.6666666666666666,0.3,0.1,0.0
51745,0.0,0.38461538461538464,0.6153846153846154,0.75,0.07692307692307693,0.15384615384615385,0.0
3987,0.0,0.4375,0.5,0.6,0.125,0.25,0.0
51936,0.0,0.5294117647058824,0.4117647058823529,0.5625,0.23529411764705882,0.11764705882352941,0.0
39760,0.0,0.5555555555555556,0.4444444444444444,0.75,0.2222222222222222,0.2222222222222222,0.0
6940,0.0,0.5,0.5,1.0,0.5,0.5,0.0
51991,0.0,0.46153846153846156,0.5384615384615384,0.8333333333333334,0.15384615384615385,0.15384615384615385,0.0
43274,0.0,0.5,0.5,0.5714285714285714,0.375,0.25,0.0
52154,0.0,0.5,0.5,0.8571428571428571,0.125,0.25,0.0
52065,0.0,0.59375,0.34375,0.6129032258064516,0.125,0.0625,0.0
52206,0.0,0.39285714285714285,0.5,0.48148148148148145,0.07142857142857142,0.17857142857142858,0.0
52166,0.0,0.5652173913043478,0.43478260869565216,0.7272727272727273,0.17391304347826086,0.08695652173913043,0.0
51256,0.0,0.45454545454545453,0.5454545454545454,0.6,0.18181818181818182,0.2727272727272727,0.0
1769,0.0,0.3333333333333333,0.6666666666666666,0.4,0.3333333333333333,0.5,0.0
52330,0.0,0.45454545454545453,0.5454545454545454,0.6666666666666666,0.09090909090909091,0.13636363636363635,0.0
51218,0.0,0.5,0.4090909090909091,0.5714285714285714,0.13636363636363635,0.13636363636363635,0.0
52481,0.0,0.5,0.5,0.5185185185185185,0.10714285714285714,0.17857142857142858,0.0
52462,0.0,0.46875,0.53125,0.6451612903225806,0.125,0.09375,0.0
50875,0.0,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.0
39573,0.0,0.5,0.5,0.6666666666666666,0.2,0.2,0.0
29761,0.0,0.4090909090909091,0.5909090909090909,0.7142857142857143,0.09090909090909091,0.13636363636363635,0.0
52690,0.0,0.4444444444444444,0.5277777777777778,0.7142857142857143,0.08333333333333333,0.05555555555555555,0.0
53211,0.0,0.5,0.5,0.7777777777777778,0.2,0.2,0.0
53059,0.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.0
53320,0.0,0.5625,0.40625,0.6451612903225806,0.09375,0.0625,0.0
